States,Plant_name,Owner_name,Coutry_name,LAT,LON,net_caol_generation,net_oil_generation,net_gas_generation,net_nuclear_generation,net_hydro_generation,new_biomass_generation,net_wind_generation,net_solar_generation,net_geothermal_generation,net_fossil_generation,net_unknownfuel_generation,net_nonrenewables_generation,net_renewables_generation,net_nonhydrorenewables_generations,net_combustion_generation,net_noncombusition_generation,coal_generation_percentage,oil_generation_percentage,gas_generation_percentage,nuclear_generation_percentage,hydro_generation_percentage,biomass_generation_percentage,wind_generation_percentage,solar_generation_percentage,geothermal_generation_percentage,fossile_generation_percentage,unknowfuel_genertion_percentage,nonrenewable_generation_percentage,renewable_generation_percentage,nonhydrorenewable_generation_percentage,combustion_generation_percentage,noncombustion_generation_percentage
AR,Ashdown,Southwestern Electric Power Co,Little River,33.6417,-94.1083,"42,506",0,"74,591",0,0,"544,997",0,0,0,"5,068",0,"122,165","544,997","544,997","667,162",0,6.4%,0.0%,11.2%,0.0%,0.0%,81.7%,0.0%,0.0%,0.0%,0.8%,0.0%,18.3%,81.7%,81.7%,100.0%,0.0%
AR,Beaver Dam,Southwestern Power Administration,Carroll,36.421507,-93.847373,0,0,0,0,"261,746",0,0,0,0,0,0,0,"261,746",0,0,"261,746",0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%
AR,Blakely Mountain,Entergy Arkansas Inc,Garland,34.570984,-93.194425,0,0,0,0,"231,668",0,0,0,0,0,0,0,"231,668",0,0,"231,668",0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%
AR,Bull Shoals,Southwestern Power Administration,Marion,36.3635,-92.5763,0,0,0,0,"1,428,481",0,0,0,0,0,0,0,"1,428,481",0,0,"1,428,481",0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%
AR,Carl Bailey,Entergy Arkansas Inc,Woodruff,35.260102,-91.363426,0,0,"15,894",0,0,0,0,0,0,0,0,"15,894",0,0,"15,894",0,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AR,Carpenter,Entergy Arkansas Inc,Garland,34.4425,-93.0262,0,0,0,0,"76,107",0,0,0,0,0,0,0,"76,107",0,0,"76,107",0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%
AR,Cecil Lynch,Entergy Arkansas Inc,Pulaski,34.7535,-92.1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Chicot Solar,Entergy Arkansas LLC,Chicot,33.479,-91.349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,City Water & Light - City of Jonesboro,City Water and Light Plant,Craighead,35.848561,-90.725377,0,284,"26,982",0,0,0,0,0,0,0,0,"27,266",0,0,"27,266",0,0.0%,1.0%,99.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AR,Clearwater Paper APP CB,Entergy Arkansas Inc,Desha,33.7061,-91.2371,0,164,"34,065",0,0,"79,878",0,0,0,0,0,"34,229","79,878","79,878","114,107",0,0.0%,0.1%,29.9%,0.0%,0.0%,70.0%,0.0%,0.0%,0.0%,0.0%,0.0%,30.0%,70.0%,70.0%,100.0%,0.0%
AR,Columbia Flooring Melbourne,Entergy Arkansas Inc,Izard,36.060514,-91.919802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Dam 2,Entergy Arkansas Inc,Desha,33.986501,-91.315788,0,0,0,0,"311,700",0,0,0,0,0,0,0,"311,700",0,0,"311,700",0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%
AR,Dardanelle,Southwestern Power Administration,Pope,35.2503,-93.1686,0,0,0,0,"594,423",0,0,0,0,0,0,0,"594,423",0,0,"594,423",0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%
AR,Degray,Entergy Arkansas Inc,Clark,34.211913,-93.110963,0,0,0,0,"122,691",0,0,0,0,0,0,0,"122,691",0,0,"122,691",0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%
AR,Dell Power Plant,"Associated Electric Coop, Inc",Mississippi,35.8619,-90.0253,0,5,"3,229,123",0,0,0,0,0,0,0,0,"3,229,128",0,0,"3,229,128",0,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AR,Elkins Generating Center,Ozarks Electric Coop Corp - (AR),Washington,35.9714,-94.0014,0,0,"13,825",0,0,0,0,0,0,0,0,"13,825",0,0,"13,825",0,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AR,Ellis Hydro,Southwestern Electric Power Co,Crawford,35.351361,-94.294349,0,0,0,0,"99,455",0,0,0,0,0,0,0,"99,455",0,0,"99,455",0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%
AR,FECC Solar Benton,First Electric Coop Corp,Saline,34.638429,-92.578347,0,0,0,0,0,0,0,"1,457",0,0,0,0,"1,457","1,457",0,"1,457",0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,100.0%
AR,Flint Creek Power Plant,Southwestern Electric Power Co,Benton,36.2561,-94.5241,"2,371,680","5,175",0,0,0,0,0,0,0,0,0,"2,376,855",0,0,"2,376,855",0,99.8%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AR,Fourche Creek Wastewater,Entergy Arkansas Inc,Pulaski,34.6968,-92.165,0,0,113,0,0,"5,367",0,0,0,0,0,113,"5,367","5,367","5,480",0,0.0%,0.0%,2.1%,0.0%,0.0%,97.9%,0.0%,0.0%,0.0%,0.0%,0.0%,2.1%,97.9%,97.9%,100.0%,0.0%
AR,Fulton,Southwestern Electric Power Co,Hempstead,33.6094,-93.7924,0,0,"118,888",0,0,0,0,0,0,0,0,"118,888",0,0,"118,888",0,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AR,Genova Arkansas I LLC,0,Washington,36.186111,-94.284166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Georgia-Pacific Crossett LLC,Entergy Arkansas Inc,Ashley,33.1421,-91.975,0,"2,687","144,297",0,0,"251,253",0,0,0,0,0,"146,984","251,253","251,253","398,237",0,0.0%,0.7%,36.2%,0.0%,0.0%,63.1%,0.0%,0.0%,0.0%,0.0%,0.0%,36.9%,63.1%,63.1%,100.0%,0.0%
AR,Greers Ferry Lake,Southwestern Power Administration,Cleburne,35.5207,-91.9953,0,0,0,0,"296,621",0,0,0,0,0,0,0,"296,621",0,0,"296,621",0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%
AR,Hamilton Moses,Entergy Arkansas Inc,St Francis,34.9806,-90.8722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Happy Solar 1,Entergy Arkansas LLC,White,35.167715,-91.660279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Harry D. Mattison Power Plant,Southwestern Electric Power Co,Washington,36.1855,-94.2841,0,0,"155,985",0,0,0,0,0,0,0,0,"155,985",0,0,"155,985",0,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AR,Harvey Couch,Entergy Arkansas Inc,Lafayette,33.3592,-93.4649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Hot Spring Energy Facility,Entergy Arkansas Inc,Hot Spring,34.29759,-92.868344,0,0,"2,937,705",0,0,0,0,0,0,0,0,"2,937,705",0,0,"2,937,705",0,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AR,Independence,Entergy Arkansas Inc,Independence,35.678442,-91.408761,"5,638,775","16,728",0,0,0,0,0,0,0,0,0,"5,655,503",0,0,"5,655,503",0,99.7%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AR,John W. Turk Jr. Power Plant,Southwestern Electric Power Co,Hempstead,33.649722,-93.811944,"4,011,634",0,"3,386",0,0,0,0,0,0,0,0,"4,015,020",0,0,"4,015,020",0,99.9%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AR,Lake Catherine,Entergy Arkansas Inc,Hot Spring,34.4341,-92.9049,0,0,"127,495",0,0,0,0,0,0,0,0,"127,495",0,0,"127,495",0,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AR,Lee Creek Water Treatment Facility,Arkansas Valley Elec Coop Corp,Crawford,35.484488,-94.392858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Mabelvale,Entergy Arkansas Inc,Pulaski,34.635997,-92.409602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Magnet Cove Generating Station,Entergy Arkansas Inc,Hot Spring,34.4297,-92.8317,0,0,"1,705,578",0,0,0,0,0,0,0,0,"1,705,578",0,0,"1,705,578",0,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AR,McClellan,Entergy Arkansas Inc,Ouachita,33.5648,-92.7917,0,0,"34,073",0,0,0,0,0,0,0,0,"34,073",0,0,"34,073",0,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AR,Municipal Light,Southwestern Power Administration,Clay,36.3858,-90.1867,0,9,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AR,Murray,Entergy Arkansas Inc,Pulaski,34.7956,-92.3569,0,0,0,0,"89,605",0,0,0,0,0,0,0,"89,605",0,0,"89,605",0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%
AR,Narrows (AR),Southwestern Electric Power Co,Pike,34.148427,-93.715168,0,0,0,0,"71,173",0,0,0,0,0,0,0,"71,173",0,0,"71,173",0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%
AR,Noland Wastewater Treatment Plant Hybrid,Ozarks Electric Coop Corp - (AR),Washington,36.082301,-94.067149,0,0,0,0,0,0,0,"3,175",0,0,(120),(120),"3,175","3,175",(120),"3,175",0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,100.0%
AR,Norfork,Southwestern Power Administration,Baxter,36.2491,-92.2401,0,0,0,0,"287,794",0,0,0,0,0,0,0,"287,794",0,0,"287,794",0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%
AR,Osceola (AR),Entergy Arkansas Inc,Mississippi,35.705381,-89.9689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Oswald Generating Station,Entergy Arkansas Inc,Pulaski,34.5923,-92.2166,0,0,"368,940",0,0,0,0,0,0,0,0,"368,940",0,0,"368,940",0,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AR,Ozark,Southwestern Power Administration,Franklin,35.4693,-93.8175,0,0,0,0,"89,547",0,0,0,0,0,0,0,"89,547",0,0,"89,547",0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%
AR,Ozarks Natural Energy Community Solar,Ozarks Electric Coop Corp - (AR),Washington,36.164296,-94.082269,0,0,0,0,0,0,0,"1,533",0,0,0,0,"1,533","1,533",0,"1,533",0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,100.0%
AR,Paragould,Paragould Light & Water Comm,Greene,36.060556,-90.521389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Paragould Reciprocating,Paragould Light & Water Comm,Greene,36.0242,-90.5094,0,0,473,0,0,0,0,0,0,0,0,473,0,0,473,0,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AR,Paragould Turbine,Paragould Light & Water Comm,Greene,36.024272,-90.509229,0,0,84,0,0,0,0,0,0,0,0,84,0,0,84,0,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AR,Pine Bluff Energy Center,Entergy Arkansas Inc,Jefferson,34.2181,-91.9025,0,0,"1,169,258",0,0,0,0,0,0,0,0,"1,169,258",0,0,"1,169,258",0,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AR,Pine Bluff Mill,Entergy Arkansas Inc,Jefferson,34.221213,-91.907365,0,0,"47,157",0,0,"365,404",0,0,0,0,0,"47,157","365,404","365,404","412,561",0,0.0%,0.0%,11.4%,0.0%,0.0%,88.6%,0.0%,0.0%,0.0%,0.0%,0.0%,11.4%,88.6%,88.6%,100.0%,0.0%
AR,Plum Point Energy Station,Entergy Arkansas Inc,Mississippi,35.6644,-89.9489,"3,933,048","11,561",0,0,0,0,0,0,0,0,0,"3,944,609",0,0,"3,944,609",0,99.7%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
